wall_ts,node,seq,sample_index,value
1778045169.705929,1,583,16,65535
1778045169.705929,1,583,17,65535
1778045169.705929,1,583,18,65535
1778045169.705929,1,583,19,65535
1778045169.705929,1,583,20,65535
1778045169.705929,1,583,21,65535
1778045169.705929,1,583,22,65535
1778045169.705929,1,583,23,65535
1778045169.705929,1,583,24,65535
1778045169.705929,1,583,25,65535
1778045169.705929,1,583,26,65535
1778045169.705929,1,583,27,65535
1778045169.705929,1,583,28,65535
1778045169.705929,1,583,29,65535
1778045169.705929,1,583,30,65535
1778045169.705929,1,583,31,65535
1778045169.8106189,1,584,0,65535
1778045169.8106189,1,584,1,65535
1778045169.8106189,1,584,2,65535
1778045169.8106189,1,584,3,65535
1778045169.8106189,1,584,4,65535
1778045169.8106189,1,584,5,65535
1778045169.8106189,1,584,6,65535
1778045169.8106189,1,584,7,65535
1778045169.8106189,1,584,8,65535
1778045169.8106189,1,584,9,65535
1778045169.8106189,1,584,10,65535
1778045169.8106189,1,584,11,65535
1778045169.8106189,1,584,12,65535
1778045169.8106189,1,584,13,65535
1778045169.8106189,1,584,14,65535
1778045169.8106189,1,584,15,65535
1778045169.8106189,1,584,16,65535
1778045169.8106189,1,584,17,65535
1778045169.8106189,1,584,18,65535
1778045169.8106189,1,584,19,65535
1778045169.8106189,1,584,20,65535
1778045169.8106189,1,584,21,65535
1778045169.8106189,1,584,22,65535
1778045169.8106189,1,584,23,65535
1778045169.8106189,1,584,24,65535
1778045169.8106189,1,584,25,65535
1778045169.8106189,1,584,26,65535
1778045169.8106189,1,584,27,65535
1778045169.8106189,1,584,28,65535
1778045169.8106189,1,584,29,65535
1778045169.8106189,1,584,30,65535
1778045169.8106189,1,584,31,65535
1778045170.0157208,1,585,0,65535
1778045170.0157208,1,585,1,65535
1778045170.0157208,1,585,2,65535
1778045170.0157208,1,585,3,65535
1778045170.0157208,1,585,4,65535
1778045170.0157208,1,585,5,65535
1778045170.0157208,1,585,6,65535
1778045170.0157208,1,585,7,65535
1778045170.0157208,1,585,8,65535
1778045170.0157208,1,585,9,65535
1778045170.0157208,1,585,10,65535
1778045170.0157208,1,585,11,65535
1778045170.0157208,1,585,12,65535
1778045170.0157208,1,585,13,65535
1778045170.0157208,1,585,14,65535
1778045170.0157208,1,585,15,65535
1778045170.0157208,1,585,16,65535
1778045170.0157208,1,585,17,65535
1778045170.0157208,1,585,18,65535
1778045170.0157208,1,585,19,65535
1778045170.0157208,1,585,20,65535
1778045170.0157208,1,585,21,65535
1778045170.0157208,1,585,22,65535
1778045170.0157208,1,585,23,65535
1778045170.0157208,1,585,24,65535
1778045170.0157208,1,585,25,65535
1778045170.0157208,1,585,26,65535
1778045170.0157208,1,585,27,65535
1778045170.0157208,1,585,28,65535
1778045170.0157208,1,585,29,65535
1778045170.0157208,1,585,30,65535
1778045170.0157208,1,585,31,65535
1778045170.12643,1,586,0,65535
1778045170.12643,1,586,1,65535
1778045170.12643,1,586,2,65535
1778045170.12643,1,586,3,65535
1778045170.12643,1,586,4,65535
1778045170.12643,1,586,5,65535
1778045170.12643,1,586,6,65535
1778045170.12643,1,586,7,65535
1778045170.12643,1,586,8,65535
1778045170.12643,1,586,9,65535
1778045170.12643,1,586,10,65535
1778045170.12643,1,586,11,65535
1778045170.12643,1,586,12,65535
1778045170.12643,1,586,13,65535
1778045170.12643,1,586,14,65535
1778045170.12643,1,586,15,65535
1778045170.12643,1,586,16,65535
1778045170.12643,1,586,17,65535
1778045170.12643,1,586,18,65535
1778045170.12643,1,586,19,65535
1778045170.12643,1,586,20,65535
1778045170.12643,1,586,21,65535
1778045170.12643,1,586,22,65535
1778045170.12643,1,586,23,65535
1778045170.12643,1,586,24,65535
1778045170.12643,1,586,25,65535
1778045170.12643,1,586,26,65535
1778045170.12643,1,586,27,65535
1778045170.12643,1,586,28,65535
1778045170.12643,1,586,29,65535
1778045170.12643,1,586,30,65535
1778045170.12643,1,586,31,65535
1778045170.230923,1,587,0,65535
1778045170.230923,1,587,1,65535
1778045170.230923,1,587,2,65535
1778045170.230923,1,587,3,65535
1778045170.230923,1,587,4,65535
1778045170.230923,1,587,5,65535
1778045170.230923,1,587,6,65535
1778045170.230923,1,587,7,65535
1778045170.230923,1,587,8,65535
1778045170.230923,1,587,9,65535
1778045170.230923,1,587,10,65535
1778045170.230923,1,587,11,65535
1778045170.230923,1,587,12,65535
1778045170.230923,1,587,13,65535
1778045170.230923,1,587,14,65535
1778045170.230923,1,587,15,65535
1778045170.230923,1,587,16,65535
1778045170.230923,1,587,17,65535
1778045170.230923,1,587,18,65535
1778045170.230923,1,587,19,65535
1778045170.230923,1,587,20,65535
1778045170.230923,1,587,21,65535
1778045170.230923,1,587,22,65535
1778045170.230923,1,587,23,65535
1778045170.230923,1,587,24,65535
1778045170.230923,1,587,25,65535
1778045170.230923,1,587,26,65535
1778045170.230923,1,587,27,65535
1778045170.230923,1,587,28,65535
1778045170.230923,1,587,29,65535
1778045170.230923,1,587,30,65535
1778045170.230923,1,587,31,65535
1778045170.3355389,1,588,0,65535
1778045170.3355389,1,588,1,65535
1778045170.3355389,1,588,2,65535
1778045170.3355389,1,588,3,65535
1778045170.3355389,1,588,4,65535
1778045170.3355389,1,588,5,65535
1778045170.3355389,1,588,6,65535
1778045170.3355389,1,588,7,65535
1778045170.3355389,1,588,8,65535
1778045170.3355389,1,588,9,65535
1778045170.3355389,1,588,10,65535
1778045170.3355389,1,588,11,65535
1778045170.3355389,1,588,12,65535
1778045170.3355389,1,588,13,65535
1778045170.3355389,1,588,14,65535
1778045170.3355389,1,588,15,65535
1778045170.3355389,1,588,16,65535
1778045170.3355389,1,588,17,65535
1778045170.3355389,1,588,18,65535
1778045170.3355389,1,588,19,65535
1778045170.3355389,1,588,20,65535
1778045170.3355389,1,588,21,65535
1778045170.3355389,1,588,22,65535
1778045170.3355389,1,588,23,65535
1778045170.3355389,1,588,24,65535
1778045170.3355389,1,588,25,65535
1778045170.3355389,1,588,26,65535
1778045170.3355389,1,588,27,65535
1778045170.3355389,1,588,28,65535
1778045170.3355389,1,588,29,65535
1778045170.3355389,1,588,30,65535
1778045170.3355389,1,588,31,65535
1778045170.44023,1,589,0,65535
1778045170.44023,1,589,1,65535
1778045170.44023,1,589,2,65535
1778045170.44023,1,589,3,65535
1778045170.44023,1,589,4,65535
1778045170.44023,1,589,5,65535
1778045170.44023,1,589,6,65535
1778045170.44023,1,589,7,65535
1778045170.44023,1,589,8,65535
1778045170.44023,1,589,9,65535
1778045170.44023,1,589,10,65535
1778045170.44023,1,589,11,65535
1778045170.44023,1,589,12,65535
1778045170.44023,1,589,13,65535
1778045170.44023,1,589,14,65535
1778045170.44023,1,589,15,65535
1778045170.44023,1,589,16,65535
1778045170.44023,1,589,17,65535
1778045170.44023,1,589,18,65535
1778045170.44023,1,589,19,65535
1778045170.44023,1,589,20,65535
1778045170.44023,1,589,21,65535
1778045170.44023,1,589,22,65535
1778045170.44023,1,589,23,65535
1778045170.44023,1,589,24,65535
1778045170.44023,1,589,25,65535
1778045170.44023,1,589,26,65535
1778045170.44023,1,589,27,65535
1778045170.44023,1,589,28,65535
1778045170.44023,1,589,29,65535
